year,debtfree_p0,debtfree_p1,debtfree_p2,debtfree_p3,debtfree_p4,debtfree_p5
2000,48.00833,49.8898,33.8203,26.56635,57.59449,62.88252
2001,48.3852,51.31676,34.40857,24.92217,61.52792,69.50749
2002,51.895,50.06422,34.55165,23.62173,59.74759,70.36452
2003,49.09759,49.87251,33.61314,22.09377,61.59674,73.559
2004,49.46588,47.4948,31.97593,22.62947,57.14171,72.82702
2005,51.6156,47.15279,32.79062,21.39881,59.26226,73.17626
2006,52.55808,47.47739,32.43394,23.60592,57.80147,78.30731
2007,54.28369,47.66759,32.75101,25.89116,58.3452,78.81583
2008,53.33411,46.57251,31.80724,21.60232,56.48494,80.76093
2009,53.93377,45.2539,31.53514,19.58109,57.53208,89.28214
2010,53.25477,42.20831,29.10527,17.37214,55.72781,88.81776
2011,54.74218,41.10222,27.51968,16.29159,55.15108,88.91602
2012,60.18277,39.77124,27.98157,16.53614,55.45796,89.95101
2013,61.79339,41.51936,29.10302,19.13875,57.25192,91.11466
2014,63.56235,42.7911,29.73978,21.21163,58.67517,90.46029
2015,64.33153,42.69818,30.77377,21.64667,59.06351,90.20695
2016,66.30499,44.02945,29.46589,22.70751,60.34623,90.98482
2017,64.95856,43.77513,28.12259,23.32532,60.47488,91.03273
2018,66.50132,44.21195,29.54564,24.48798,60.9297,92.46284
2019,66.94596,46.28476,30.21597,23.85096,60.93813,92.37149
2020,67.94145,47.75407,33.06052,23.28966,64.51498,93.4131
