unitid,year,top30private,top30public,schoolname,pehedge,otherfinance
104179,2006,,1,"arizona state system",0,.0909091
104179,2007,,1,"arizona state system",0,.0909091
104179,2008,,1,"arizona state system",0,.0909091
104179,2009,,1,"arizona state system",0,.0909091
104179,2010,,1,"arizona state system",0,0
104179,2011,,1,"arizona state system",0,0
104179,2012,,1,"arizona state system",0,0
104179,2013,,1,"arizona state system",0,0
104179,2014,,1,"arizona state system",0,0
104179,2015,,1,"arizona state system",0,0
104179,2016,,1,"arizona state system",0,0
104179,2017,,1,"arizona state system",0,0
110404,1989,1,,"caltech",.0833333,.1111111
110404,2003,1,,"california institute of technology",.0857143,.0857143
110404,2004,1,,"california institute of technology",.0857143,.0714286
110404,2005,1,,"california institute of technology",.1126761,.084507
110404,2006,1,,"california institute of technology",.131579,.1052632
110404,2007,1,,"california institute of technology",.1466667,.1066667
110404,2008,1,,"california institute of technology",.1466667,.1333333
110404,2009,1,,"california institute of technology",.1282051,.1282051
110404,2010,1,,"california institute of technology",.1153846,.1282051
110404,2011,1,,"california institute of technology",.1265823,.1265823
110404,2012,1,,"california institute of technology",.1578947,.1184211
110404,2013,1,,"california institute of technology",.1707317,.1219512
110404,2014,1,,"california institute of technology",.1728395,.1234568
110404,2015,1,,"california institute of technology",.1785714,.1190476
110404,2016,1,,"california institute of technology",.1704545,.1363636
110404,2017,1,,"california institute of technology",.1724138,.1264368
110635,2003,,1,"university of california system",.1428571,0
110635,2004,,1,"university of california system",.1481481,0
110635,2005,,1,"university of california system",.1538462,.0384615
110635,2006,,1,"university of california system",.1851852,.0740741
110635,2007,,1,"university of california system",.1724138,.1034483
110635,2008,,1,"university of california system",.1111111,.1481481
110635,2009,,1,"university of california system",.1034483,.1034483
110635,2010,,1,"university of california system",.0714286,.1071429
110635,2011,,1,"university of california system",.1071429,.1428571
110635,2012,,1,"university of california system",.1153846,.0769231
110635,2013,,1,"university of california system",.0416667,.0833333
110635,2014,,1,"university of california system",.047619,.1428571
110635,2015,,1,"university of california system",.0344828,.1034483
110635,2016,,1,"university of california system",.037037,.0740741
110635,2017,,1,"university of california system",.037037,.0740741
123961,2003,1,,"university of southern california",.0909091,.1590909
123961,2004,1,,"university of southern california",.0851064,.1702128
123961,2005,1,,"university of southern california",.0869565,.173913
123961,2006,1,,"university of southern california",.1,.2
123961,2007,1,,"university of southern california",.1111111,.1851852
123961,2008,1,,"university of southern california",.1132075,.1886792
123961,2009,1,,"university of southern california",.12,.16
123961,2010,1,,"university of southern california",.1702128,.1489362
123961,2011,1,,"university of southern california",.1372549,.1176471
123961,2012,1,,"university of southern california",.1320755,.1132075
123961,2013,1,,"university of southern california",.125,.1071429
123961,2014,1,,"university of southern california",.125,.1071429
123961,2015,1,,"university of southern california",.0847458,.1355932
123961,2016,1,,"university of southern california",.0877193,.1403509
123961,2017,1,,"university of southern california",.0701754,.1578947
126614,2003,,1,"university of colorado",0,0
126614,2004,,1,"university of colorado",0,0
126614,2005,,1,"university of colorado",0,.1111111
126614,2006,,1,"university of colorado",0,.1111111
126614,2007,,1,"university of colorado",0,.1111111
126614,2008,,1,"university of colorado",0,.1111111
126614,2009,,1,"university of colorado",0,.1111111
126614,2010,,1,"university of colorado",0,.1111111
126614,2011,,1,"university of colorado",0,.1111111
126614,2012,,1,"university of colorado",0,.1111111
126614,2013,,1,"university of colorado",0,.1111111
126614,2014,,1,"university of colorado",0,.1111111
126614,2015,,1,"university of colorado",0,.1111111
126614,2016,,1,"university of colorado",0,.1111111
126614,2017,,1,"university of colorado",0,0
130794,1989,1,,"yale",0,.0666667
130794,2003,1,,"yale university",.2105263,.1052632
130794,2004,1,,"yale university",.2222222,.1111111
130794,2005,1,,"yale university",.2222222,.1111111
130794,2006,1,,"yale university",.1666667,.1666667
130794,2007,1,,"yale university",.1578947,.1052632
130794,2008,1,,"yale university",.1052632,.1052632
130794,2009,1,,"yale university",.1052632,.1052632
130794,2010,1,,"yale university",.1052632,.1052632
130794,2011,1,,"yale university",.1052632,.1052632
130794,2012,1,,"yale university",.1052632,.1052632
130794,2013,1,,"yale university",.0526316,.1052632
130794,2014,1,,"yale university",.0555556,.1111111
130794,2015,1,,"yale university",.0526316,.1578947
130794,2016,1,,"yale university",.0526316,.1578947
130794,2017,1,,"yale university",.1052632,.1578947
131496,1989,1,,"georgetown",.0204082,.1632653
131496,2003,1,,"georgetown university",.0666667,.1777778
131496,2004,1,,"georgetown university",.0952381,.1666667
131496,2005,1,,"georgetown university",.1219512,.1951219
131496,2006,1,,"georgetown university",.125,.275
131496,2007,1,,"georgetown university",.15,.3
131496,2008,1,,"georgetown university",.125,.375
131496,2009,1,,"georgetown university",.15,.4
131496,2010,1,,"georgetown university",.0833333,.4722222
131496,2011,1,,"georgetown university",.0571429,.4
131496,2012,1,,"georgetown university",.0555556,.3055556
131496,2013,1,,"georgetown university",.0555556,.3055556
131496,2014,1,,"georgetown university",.0833333,.2222222
131496,2015,1,,"georgetown university",.0769231,.2564103
131496,2016,1,,"georgetown university",.1052632,.2105263
131496,2017,1,,"georgetown university",.1282051,.1538462
134097,2003,,1,"florida state university",0,0
134097,2004,,1,"florida state university",0,0
134097,2005,,1,"florida state university",0,0
134097,2006,,1,"florida state university",0,0
134097,2007,,1,"florida state university",0,0
134097,2008,,1,"florida state university",0,0
134097,2009,,1,"florida state university",0,0
134097,2010,,1,"florida state university",0,.0769231
134097,2011,,1,"florida state university",0,.2307692
134097,2012,,1,"florida state university",0,.2307692
134097,2013,,1,"florida state university",0,.2307692
134097,2014,,1,"florida state university",0,.2307692
134097,2015,,1,"florida state university",0,.1538462
134097,2016,,1,"florida state university",0,.1538462
134097,2017,,1,"florida state university",0,.0833333
134130,2003,,1,"university of florida",0,.0769231
134130,2004,,1,"university of florida",.0769231,.0769231
134130,2005,,1,"university of florida",.0769231,.0769231
134130,2006,,1,"university of florida",.0769231,.0769231
134130,2007,,1,"university of florida",.0769231,.0769231
134130,2008,,1,"university of florida",.0769231,.0769231
134130,2009,,1,"university of florida",.0769231,.0769231
134130,2010,,1,"university of florida",0,.0769231
134130,2011,,1,"university of florida",0,.0769231
134130,2012,,1,"university of florida",0,0
134130,2013,,1,"university of florida",0,.0769231
134130,2014,,1,"university of florida",0,.0833333
134130,2015,,1,"university of florida",0,0
134130,2016,,1,"university of florida",.0769231,0
134130,2017,,1,"university of florida",.0769231,0
137351,2003,,1,"university of south florida",0,0
137351,2004,,1,"university of south florida",0,0
137351,2005,,1,"university of south florida",0,0
137351,2006,,1,"university of south florida",0,0
137351,2007,,1,"university of south florida",0,0
137351,2008,,1,"university of south florida",0,0
137351,2009,,1,"university of south florida",0,0
137351,2010,,1,"university of south florida",0,.0769231
137351,2011,,1,"university of south florida",0,.1538462
137351,2012,,1,"university of south florida",0,.1538462
137351,2013,,1,"university of south florida",0,.1666667
137351,2014,,1,"university of south florida",0,.1538462
137351,2015,,1,"university of south florida",0,.0769231
137351,2016,,1,"university of south florida",0,.0769231
137351,2017,,1,"university of south florida",0,.0769231
139658,1989,1,,"emory",0,.1290323
139658,2003,1,,"emory university",.0285714,.2
139658,2004,1,,"emory university",.0277778,.1388889
139658,2005,1,,"emory university",.0277778,.1388889
139658,2006,1,,"emory university",.0277778,.1388889
139658,2007,1,,"emory university",.0263158,.131579
139658,2008,1,,"emory university",.0263158,.1052632
139658,2009,1,,"emory university",.0512821,.1025641
139658,2010,1,,"emory university",.075,.1
139658,2011,1,,"emory university",.0731707,.097561
139658,2012,1,,"emory university",.0714286,.0952381
139658,2013,1,,"emory university",.0731707,.0731707
139658,2014,1,,"emory university",.097561,.097561
139658,2015,1,,"emory university",.0930233,.1162791
139658,2016,1,,"emory university",.0930233,.1395349
139658,2017,1,,"emory university",.1,.125
139959,2003,,1,"georgia university system",0,.0588235
139959,2004,,1,"georgia university system",0,.0555556
139959,2005,,1,"georgia university system",.0555556,0
139959,2006,,1,"georgia university system",.0555556,.0555556
139959,2007,,1,"georgia university system",.0625,.0625
139959,2008,,1,"georgia university system",.0555556,.1111111
139959,2009,,1,"georgia university system",.0555556,.1111111
139959,2010,,1,"georgia university system",.0555556,.1666667
139959,2011,,1,"georgia university system",.0555556,.1111111
139959,2012,,1,"georgia university system",.0555556,.1111111
139959,2013,,1,"georgia university system",.0526316,.1052632
139959,2014,,1,"georgia university system",.0526316,.1052632
139959,2015,,1,"georgia university system",.0526316,.1052632
139959,2016,,1,"georgia university system",.0526316,.1052632
139959,2017,,1,"georgia university system",.0526316,.1052632
141574,2003,,1,"university of hawai'i at mānoa",0,.0909091
141574,2004,,1,"university of hawai'i at mānoa",0,.0909091
141574,2005,,1,"university of hawai'i at mānoa",0,.1818182
141574,2006,,1,"university of hawai'i at mānoa",0,.2727273
141574,2007,,1,"university of hawai'i at mānoa",0,.1818182
141574,2008,,1,"university of hawai'i at mānoa",0,.2
141574,2009,,1,"university of hawai'i at mānoa",0,.2142857
141574,2010,,1,"university of hawai'i at mānoa",0,.1333333
141574,2011,,1,"university of hawai'i at mānoa",0,.0666667
141574,2012,,1,"university of hawai'i at mānoa",0,0
141574,2013,,1,"university of hawai'i at mānoa",0,.0714286
141574,2014,,1,"university of hawai'i at mānoa",0,.0666667
141574,2015,,1,"university of hawai'i at mānoa",0,0
141574,2016,,1,"university of hawai'i at mānoa",0,0
