firstname,middlename,lastname,year,financedetail,college,boardunitid1,boardunitid2,technology,otherfin,collegeschooltype,pehedge
"william","arthur","fickling",1989,"non-financial","",,,0,0,4,0
"seymour","","cohn",1989," non-financial","rutgers university",,,0,0,2,0
"phoebe","hearst","cooke",1989," non-financial","",,,0,0,4,0
"harry","","weinberg",1989," non-financial","high school",,,0,0,1,0
"john","richard","simplot",1989," non-financial","high school",,,0,0,1,0
"lee","marshall","bass",1989,"venture capital","yale university",221999,,0,0,3,1
"samuel","joseph","frankino",1989,"non-financial","florida international university",,,0,0,1,0
"joseph","s","gruss",1989,"non-financial","",,,0,0,4,0
"donald","george","fisher",1989,"non-financial","university of california berkeley",,,0,0,2,0
"james","emmett","evans",1989," non-financial","university of north carolina",,,0,0,2,0
"jeremy","maurice","jacobs",1989," non-financial","state university of new york buffalo",,,0,0,3,0
"william","clay","ford",1989," non-financial","yale university",186131,,0,0,3,0
"cyril","","wagner",1989," non-financial","university of oklahoma",,,0,0,1,0
"david","","rockefeller",1989," non-financial","harvard university",,,0,0,3,0
"william","michael","cafaro",1989,"non-financial","hall's business college",,,0,0,1,0
"kenneth","nicholas","pontikes",1989,"non-financial","southern illinois university",,,1,0,1,0
"david","","packard",1989," non-financial","stanford university",,,1,0,3,0
"mervyn","edward","griffin",1989,"non-financial","university of san francisco",,,0,0,1,0
"william","robert","berkley",1989,"non-financial","new york university",,,0,0,3,0
"chapman","shaw","root",1989," non-financial","",,,0,0,4,0
"wilton","robert","stephens",1989,"investment banking","high school",,,0,1,1,0
"leonard","","tow",1989,"non-financial","brooklyn college",,,0,0,1,0
"a","alfred","taubman",1989," non-financial","",,,0,0,4,0
"ted","","arison",1989," non-financial","american university of beirut",,,0,0,1,0
"john","orin","edson",1989,"non-financial","",,,0,0,4,0
"forrest","edward","mars",1989," non-financial","yale university",,,0,0,3,0
"david","m","durst",1989," non-financial","georgia institute of technology",,,0,0,2,0
"william","coburn","cox",1989," non-financial","boston university",,,0,0,3,0
"robert","alfred","lurie",1989," non-financial","northwestern university",,,0,0,3,0
"orvon","gene","autry",1989,"non-financial","high school",,,0,0,1,0
"dorrance","hill","hamilton",1989,"non-financial","high school",,,0,0,1,0
"robert","alan","pritzker",1989," non-financial","illinois institute of technology",,,0,0,1,0
"laurance","spelman","rockefeller",1989,"venture capital","princeton university",,,0,0,3,1
"elizabeth","ann","reid",1989,"non-financial","university of kansas",198419,,0,0,1,0
"john","","arrillaga",1989," non-financial","stanford university",,,0,0,3,0
"lawrence","j","ellison",1989,"non-financial","",,,1,0,4,0
"frank","","batten",1989," non-financial","university of virginia",,,0,0,2,0
"curtis","leroy","carlson",1989," non-financial","university of minnesota",,,0,0,2,0
"albert","lee","ueltschi",1989,"non-financial","",,,0,0,4,0
"wallace","henry","coulter",1989,"non-financial","georgia institute of technology",,,0,0,2,0
"josephine","clay","ford",1989,"non-financial","",,,0,0,4,0
"philip","h","knight",1989," non-financial","university of oregon",,,0,0,1,0
"joe","lewis","allbritton",1989,"commercial banking","baylor university",,,0,1,1,0
"august","christopher","meyer",1989,"non-financial","harvard university",,,0,0,3,0
"harold","","brown",1989,"non-financial","massachusetts institute of technology",110404,,0,0,3,0
"ray","lee","hunt",1989," non-financial","southern methodist university",,,0,0,1,0
"james","levoy","sorenson",1989,"non-financial","high school",,,0,0,1,0
"dennis","","washington",1989," non-financial","high school",,,0,0,1,0
"meshulam","","riklis",1989,"private equity","ohio state university",,,0,0,2,1
"aaron","","spelling",1989,"non-financial","southern methodist university",,,0,0,1,0
"donald","e","graham",1989,"non-financial","harvard university",,,0,0,3,0
"floyd","dewey","gottwald",1989,"non-financial","virginia military institute",,,0,0,1,0
"john","hugh","macmillan",1989," non-financial","university of minnesota",,,0,0,2,0
"mortimer","benjamin","zuckerman",1989," non-financial","mcgill university",193900,,0,0,1,0
"anne","cox","chambers",1989," non-financial","finch college",,,0,0,1,0
"john","murdoch","harbert",1989,"non-financial","auburn university",,,0,0,1,0
"john","edward","anderson",1989,"non-financial","university of california los angeles",,,0,0,2,0
"richard","edwin","marriott",1989,"non-financial","university of utah",,,0,0,2,0
"marshall","","naify",1989,"non-financial","stanford university",,,0,0,3,0
"donald","edward","newhouse",1989," non-financial","",,,0,0,4,0
"robert","allen","naify",1989,"non-financial","high school",,,0,0,1,0
"warren","edward","buffett",1989,"asset management","university of nebraska",,,0,1,1,0
"patrick","george","ryan",1989,"other financial","northwestern university",147767,,0,1,3,0
"barbara","piasecka","johnson",1989,"non-financial","",,,0,0,4,0
"burton","paul","resnick",1989," non-financial","university of chicago",165015,,0,0,3,0
"roy","m","huffington",1989," non-financial","harvard university",,,0,0,3,0
"samuel","irving","newhouse",1989," non-financial","high school",,,0,0,1,0
"elizabeth","lupton","davenport",1989,"non-financial","",,,0,0,4,0
"anne","burnett","marion",1989,"non-financial","university of texas austin",,,0,0,2,0
"david","hamilton","koch",1989," non-financial","massachusetts institute of technology",162928,166683,0,0,3,0
"s","robson","walton",1989," non-financial","university of arkansas",,,0,0,1,0
"jerry","j","moore",1989,"non-financial","high school",,,0,0,1,0
"minot","king","milliken",1989,"non-financial","princeton university",,,0,0,3,0
"arthur","l","williams",1989,"non-financial","mississippi state university",,,0,0,1,0
"gordon","peter","getty",1989," non-financial","san francisco conservatory of music",,,0,0,1,0
"joseph","albert","albertson",1989," non-financial","college of idaho",,,0,0,1,0
"donald","joyce","hall",1989," non-financial","dartmouth college",,,0,0,3,0
"arthur","g","cohen",1989,"non-financial","university of miami",,,0,0,1,0
"lucille","","carver",1989,"non-financial","",,,0,0,4,0
"leonard","alan","lauder",1989," non-financial","university of pennsylvania",215062,,0,0,3,0
"armas","clifford","markkula",1989,"venture capital","university of southern california",,,0,0,3,1
"jerome","spiegel","kohlberg",1989,"private equity","columbia university",190150,190150,0,0,3,1
"harry","brakmann","helmsley",1989," non-financial","high school",,,0,0,1,0
"norton","","clapp",1989,"non-financial","occidental college",,,0,0,1,0
"lillian","","goldman",1989,"non-financial","high school",,,0,0,1,0
"paul","gardner","allen",1989," non-financial","",,,1,0,4,0
"ewing","marion","kauffman",1989,"non-financial","kansas city junior college",,,0,0,1,0
"octavia","mary","dupont bredin",1989,"non-financial","",,,0,0,4,0
"margaret","anne","cargill",1989," non-financial","university of minnesota",166939,,0,0,2,0
"ralph","mcallister","ingersoll",1989,"non-financial","yale university",,,0,0,3,0
"ian","","woodner",1989,"non-financial","university of minnesota",,,0,0,2,0
