unitid,firstname,lastname,year,schoolname,suffix,gender,financetype,middlename,alumni,econ_type,econ_affiliation,top30private,top30public
166683,"richard","simmons",2004,"massachusetts institute of technology","","m","non-financial","",,"Non-financial business","llegheny teledyneorporated",1,
179867,"patrick","mcginnis",2016,"washington university in st louis","","m","non-financial","",,"Non-financial business","nestle",1,
166683,"ursula","burns",2011,"massachusetts institute of technology","","w","non-financial","M.",,"Non-financial business","xerox",1,
179867,"patrick","mcginnis",2013,"washington university in st louis","","m","non-financial","",,"Non-financial business","nestle",1,
147767,"william","daley",2010,"northwestern university","","m","investment banking","",,"Other finance","jp morgan",1,
201645,"george","aronoff",2003,"case western reserve university","","m","non-financial","",,"Non-financial business","benesch friedlander coplan & aronoff",1,
152080,"william","shaw",2012,"university of notre dame","","m","non-financial","",,"Non-financial business","marriott international",1,
243744,"susan","mccaw",2012,"stanford university","","w","venture capital","R.",,"Alternative finance","com investments",1,
110404,"harry","conger",2013,"california institute of technology","","m","non-financial","",,"Non-financial business","homestake mining company",1,
139658,"james","carson",2006,"emory university","jr","m","non-financial","",,"Real estate","carter & associates",1,
110404,"richard","rosenberg",2009,"california institute of technology","","m","private equity","",,"Alternative finance","bank of america alt finance",1,
144050,"michael","klingensmith",2012,"university of chicago","","m","non-financial","J.",,"Non-financial business","minneapolis star",1,
227757,"robert","brockman",2012,"rice university","","m","non-financial","",,"Non-financial business","reynolds & reynolds",1,
166683,"barun","singh",2010,"massachusetts institute of technology","","m","non-financial","",,"Non-financial business","wegowisecom",1,
152080,"william","beauchamp",2010,"university of notre dame","","m","non-financial","",,"Education science medicine","university of portland",1,
221999,"monroe","carell",2005,"vanderbilt university","jr","m","non-financial","",,"Non-financial business","central parking",1,
167358,"richard","freeland",2004,"northeastern university","","m","non-financial","",,"Education science medicine","northeastern university",1,
147767,"jude","reyes",2016,"northwestern university","","m","non-financial","",,"Non-financial business","reyes holdings nonfinance",1,
110404,"donald","bren",2003,"california institute of technology","","m","non-financial","",,"Real estate","irvine company",1,
167358,"carole","shapazian",2004,"northeastern university","","w","non-financial","",,"Non-financial business","baxter",1,
166683,"marjorie","yang",2014,"massachusetts institute of technology","","w","non-financial","M.T.",,"Non-financial business","esquel group",1,
227757,"teveia","barnes",2003,"rice university","","w","non-financial","",,"Non-financial business","lawyers one america",1,
147767,"david","weinberg",2011,"northwestern university","","m","other finance","B.",,"Other finance","judd enterprises",1,
144050,"james","crown",2011,"university of chicago","","m","investment banking","S.",,"Other finance","henry crown & company",1,
179867,"william","neaves",2004,"washington university in st louis","","m","non-financial","",,"Education science medicine","stowers institute medical research",1,
130794,"","the lieutenant governor of connecticut ex officio",2013,"yale university","","","non-financial","",,"Public sector","lieutenant governor of connecticut ex officio",1,
131496,"claire","perry",2009,"georgetown university","","w","non-financial","",,"Arts/media","independent curator specializing in 19th century american art",1,
201645,"kenneth","chance",2009,"case western reserve university","","m","non-financial","",,"Education science medicine","university of kentucky",1,
215062,"gilbert","casellas",2003,"university of pennsylvania","","m","other finance","F.",,"Non-financial business","omnitru",1,
186131,"peter","lewis",2011,"princeton university","","m","non-financial","",,"Other finance","progressive",1,
131496,"dorothy","kelly",2006,"georgetown university","","w","non-financial","",,"Non-profits/philanthropy","prioress ursuline convent",1,
217156,"alison","stewart",2015,"brown university","","w","non-financial","D.",,"Arts/media","npr and ted",1,
123961,"linda","rice",2004,"university of southern california","","w","non-financial","",,"Non-financial business","johnson publishing company",1,
168148,"annetta","grisard-schrafl",2004,"tufts university","","w","non-financial","",,"Public sector","civil court judge in basel switzerland",1,
152080,"richard","notebaert",2009,"university of notre dame","","m","non-financial","",,"Non-financial business","quest communications",1,
193900,"brett","rochkind",2014,"new york university","","m","private equity","B.",,"Alternative finance","general atlantic",1,
195030,"ursula","burns",2008,"university of rochester","","w","non-financial","",,"Non-financial business","xerox",1,
165015,"dolores","kohl",2009,"brandeis university","","w","non-financial","",,"Non-profits/philanthropy","dolores kohl education foundation",1,
110404,"william","davidow",2009,"california institute of technology","","m","venture capital","",,"Alternative finance","mohr davidow ventures",1,
221999,"dennis","bottorff",2009,"vanderbilt university","","m","commercial banking","C.",,"Other finance","council ventures",1,
198419,"paula","burger",2013,"duke university","","w","non-financial","",,"Education science medicine","paula p burger higher education consulting",1,
147767,"bondurant","french",2017,"northwestern university","","m","private equity","",1,"Alternative finance","adastreet partners",1,
139658,"thomas","barkin",2016,"emory university","","m","non-financial","",,"Non-financial business","mckinsey & company",1,
110404,"william","kieschnick",2004,"california institute of technology","","m","non-financial","",,"Non-financial business","atlantic richfield company",1,
215062,"mark","alderman",2008,"university of pennsylvania","","m","non-financial","",,"Non-financial business","cozen o'connor",1,
179867,"james","o'donnell",2008,"washington university in st louis","","m","asset management","V.",,"Other finance","bush o'donnell & co",1,
211440,"bruce","mcwilliams",2010,"carnegie mellon university","","m","non-financial","",,"Non-financial business","intermolecular",1,
166683,"norman","gaut",2009,"massachusetts institute of technology","","m","non-financial","",,"Non-financial business","superwater solutions",1,
110404,"brigitte","bren",2010,"california institute of technology","","w","non-financial","M.",,"Non-financial business","law 588",1,
195030,"mark","ain",2016,"university of rochester","","m","non-financial","",,"Non-financial business","kronosorporated: kronos canadian systems",1,
167358,"nicholas","thorndike",2003,"northeastern university","","m","non-financial","",,"Non-financial business","courier",1,
123961,"william","siart",2016,"university of southern california","","m","commercial banking","",,"Other finance","first interstate bancorp",1,
139658,"muhtar","kent",2017,"emory university","","m","non-financial","",0,"Non-financial business","cocacola company",1,
179867,"stephen","brauer",2017,"washington university in st louis","","m","non-financial","F.",0,"Non-financial business","hunter engineering",1,
166027,"conrad","harper",2003,"harvard university","","m","non-financial","",,"Non-financial business","simpson thacher & bartlett",1,
139658,"thomas","bell",2011,"emory university","jr","m","non-financial","D.",,"Non-financial business","cousins properties",1,
123961,"chengyu","fu",2015,"university of southern california","","w","non-financial","",,"Non-financial business","sinopec",1,
152080,"most","jenky",2010,"university of notre dame","","m","non-financial","",,"Non-profits/philanthropy","peoria",1,
152080,"terrence","mcglinn",2011,"university of notre dame","","m","non-financial","",,"Non-financial business","all star distributing companyinc",1,
193900,"arthur","carter",2011,"new york university","","m","non-financial","",,"Non-financial business","utilities & industries management",1,
147767,"jay","hoag",2009,"northwestern university","","m","venture capital","C.",,"Alternative finance","technology crossover ventures",1,
186131,"katherine","bradley",2009,"princeton university","","w","non-financial","Brittain",,"Non-profits/philanthropy","citybridge foundation",1,
139658,"douglas","ivester",2004,"emory university","","m","other finance","",,"Other finance","deer run investments",1,
164988,"stephen","karp",2011,"boston university","","m","non-financial","",,"Real estate","new england development",1,
110404,"david","baltimore",2005,"california institute of technology","","m","non-financial","",,"Education science medicine","california institute of technology",1,
139658,"laura","hardman",2007,"emory university","","w","non-financial","J.",,"Non-financial business","cartermondale transition planning group",1,
201645,"vincent","gaudiani",2017,"case western reserve university","","m","non-financial","",1,"Education science medicine","pacific coast cardiac & vascular surgeons",1,
110404,"david","lee",2005,"california institute of technology","","m","private equity","Li",,"Alternative finance","clarity partners",1,
167358,"jeffrey","bornstein",2017,"northeastern university","","m","other finance","",1,"Non-financial business","general electric",1,
139658,"douglas","daft",2004,"emory university","","m","non-financial","",,"Non-financial business","cocacola company",1,
190150,"esta","stecher",2016,"columbia university","","w","investment banking","",,"Other finance","goldman sachs",1,
190415,"abby","cohen",2004,"cornell university","","w","investment banking","",,"Other finance","goldman sachs",1,
190415,"philip","young",2003,"cornell university","","m","venture capital","",,"Alternative finance","us venture partners",1,
165015,"perry","traquina",2009,"brandeis university","","m","asset management","",,"Other finance","wellington management company",1,
123961,"harlyne","norris",2003,"university of southern california","","w","non-financial","",,"Non-profits/philanthropy","trustee kenneth t and eileen l norris foundation",1,
217156,"jerome","vascellaro",2014,"brown university","","m","private equity","C.",,"Alternative finance","texas pacific group",1,
201645,"alan","schwartz",2014,"case western reserve university","","m","non-financial","",,"Education science medicine","washington university",1,
162928,"benjamin","griswold",2004,"johns hopkins university","iii","m","asset management","",,"Other finance","brown investment advisory & trust co",1,
