digitopeid,opeid,corporationname,institutionname,claimcount,control_n,control
753100,7531,"Academy of Art University","Academy of Art University",39,"For-Profit",3
2244400,22444,"Adtalem Global Education, Inc.","American University of the Caribbean",1,"For-Profit",3
974802,9748,"Adtalem Global Education, Inc.","Carrington",1,"For-Profit",3
2100600,21006,"Adtalem Global Education, Inc.","Carrington",1,"For-Profit",3
2100607,21006,"Adtalem Global Education, Inc.","Carrington",1,"For-Profit",3
2100611,21006,"Adtalem Global Education, Inc.","Carrington",1,"For-Profit",3
3042500,30425,"Adtalem Global Education, Inc.","Carrington",1,"For-Profit",3
3042501,30425,"Adtalem Global Education, Inc.","Carrington",1,"For-Profit",3
3069300,30693,"Adtalem Global Education, Inc.","Carrington",1,"For-Profit",3
974800,9748,"Adtalem Global Education, Inc.","Carrington",3,"For-Profit",3
974804,9748,"Adtalem Global Education, Inc.","Carrington",3,"For-Profit",3
974806,9748,"Adtalem Global Education, Inc.","Carrington",3,"For-Profit",3
974808,9748,"Adtalem Global Education, Inc.","Carrington",3,"For-Profit",3
974801,9748,"Adtalem Global Education, Inc.","Carrington",4,"For-Profit",3
974803,9748,"Adtalem Global Education, Inc.","Carrington",4,"For-Profit",3
974807,9748,"Adtalem Global Education, Inc.","Carrington",4,"For-Profit",3
2100608,21006,"Adtalem Global Education, Inc.","Carrington",4,"For-Profit",3
638500,6385,"Adtalem Global Education, Inc.","Chamberlain College of Nursing",4,"For-Profit",3
1072719,10727,"Adtalem Global Education, Inc.","DeVry College",7,"For-Profit",3
922800,9228,"Adtalem Global Education, Inc.","DeVry College",8,"For-Profit",3
309901,3099,"Adtalem Global Education, Inc.","DeVry Institute of Technology",1,"For-Profit",3
2296605,22966,"Adtalem Global Education, Inc.","DeVry Institute of Technology",1,"For-Profit",3
832201,8322,"Adtalem Global Education, Inc.","DeVry Institute of Technology",3,"For-Profit",3
1013900,10139,"Adtalem Global Education, Inc.","DeVry Institute of Technology",4,"For-Profit",3
2296600,22966,"Adtalem Global Education, Inc.","DeVry Institute of Technology",4,"For-Profit",3
309900,3099,"Adtalem Global Education, Inc.","DeVry Institute of Technology",8,"For-Profit",3
832200,8322,"Adtalem Global Education, Inc.","DeVry Institute of Technology",8,"For-Profit",3
922400,9224,"Adtalem Global Education, Inc.","DeVry Institute of Technology",9,"For-Profit",3
245500,2455,"Adtalem Global Education, Inc.","DeVry Institute of Technology",12,"For-Profit",3
2332900,23329,"Adtalem Global Education, Inc.","DeVry Institute of Technology",22,"For-Profit",3
1072710,10727,"Adtalem Global Education, Inc.","DeVry University",1,"For-Profit",3
1072716,10727,"Adtalem Global Education, Inc.","DeVry University",1,"For-Profit",3
1072725,10727,"Adtalem Global Education, Inc.","DeVry University",5,"For-Profit",3
1072754,10727,"Adtalem Global Education, Inc.","DeVry University",6,"For-Profit",3
1072709,10727,"Adtalem Global Education, Inc.","DeVry University",7,"For-Profit",3
11072707,110727,"Adtalem Global Education, Inc.","DeVry University",8,"For-Profit",3
1072712,10727,"Adtalem Global Education, Inc.","DeVry University",9,"For-Profit",3
1072718,10727,"Adtalem Global Education, Inc.","DeVry University",9,"For-Profit",3
1072723,10727,"Adtalem Global Education, Inc.","DeVry University",9,"For-Profit",3
1072702,10727,"Adtalem Global Education, Inc.","DeVry University",13,"For-Profit",3
1072722,10727,"Adtalem Global Education, Inc.","DeVry University",13,"For-Profit",3
1072704,10727,"Adtalem Global Education, Inc.","DeVry University",14,"For-Profit",3
1072711,10727,"Adtalem Global Education, Inc.","DeVry University",15,"For-Profit",3
1072717,10727,"Adtalem Global Education, Inc.","DeVry University",22,"For-Profit",3
1072724,10727,"Adtalem Global Education, Inc.","DeVry University",27,"For-Profit",3
1072706,10727,"Adtalem Global Education, Inc.","DeVry University",32,"For-Profit",3
1072720,10727,"Adtalem Global Education, Inc.","DeVry University",33,"For-Profit",3
1072714,10727,"Adtalem Global Education, Inc.","DeVry University",39,"For-Profit",3
1072715,10727,"Adtalem Global Education, Inc.","DeVry University",64,"For-Profit",3
1072700,10727,"Adtalem Global Education, Inc.","DeVry University",1195,"For-Profit",3
2075400,20754,"Adtalem Global Education, Inc.","Keller Graduate School of Management",250,"For-Profit",3
2246000,22460,"Adtalem Global Education, Inc.","Ross University",3,"For-Profit",3
2277900,22779,"Adtalem Global Education, Inc.","Ross University",3,"For-Profit",3
729700,7297,"Alta Colleges, Inc.","Redstone College",2,"For-Profit",3
729701,7297,"Alta Colleges, Inc.","Westwood College",1,"For-Profit",3
2313902,23139,"Alta Colleges, Inc.","Westwood College",1,"For-Profit",3
1162601,11626,"Alta Colleges, Inc.","Westwood College",2,"For-Profit",3
2313901,23139,"Alta Colleges, Inc.","Westwood College",3,"For-Profit",3
1162602,11626,"Alta Colleges, Inc.","Westwood College",4,"For-Profit",3
3079202,30792,"Alta Colleges, Inc.","Westwood College",8,"For-Profit",3
754805,7548,"Alta Colleges, Inc.","Westwood College",9,"For-Profit",3
754803,7548,"Alta Colleges, Inc.","Westwood College",10,"For-Profit",3
3079201,30792,"Alta Colleges, Inc.","Westwood College",10,"For-Profit",3
754801,7548,"Alta Colleges, Inc.","Westwood College",12,"For-Profit",3
3072701,30727,"Alta Colleges, Inc.","Westwood College",13,"For-Profit",3
754802,7548,"Alta Colleges, Inc.","Westwood College",19,"For-Profit",3
1162600,11626,"Alta Colleges, Inc.","Westwood College",19,"For-Profit",3
3072702,30727,"Alta Colleges, Inc.","Westwood College",22,"For-Profit",3
2313900,23139,"Alta Colleges, Inc.","Westwood College",47,"For-Profit",3
3079200,30792,"Alta Colleges, Inc.","Westwood College",51,"For-Profit",3
3072700,30727,"Alta Colleges, Inc.","Westwood College",98,"For-Profit",3
754800,7548,"Alta Colleges, Inc.","Westwood College",131,"For-Profit",3
3771300,37713,"American Career Institute","AMERICAN CAREER INSTITUTE",2892,"For-Profit",3
1005701,10057,"American Commercial Colleges, Inc.","American Commercial College",1,"For-Profit",3
1005900,10059,"American Commercial Colleges, Inc.","American Commercial College",1,"For-Profit",3
1005901,10059,"American Commercial Colleges, Inc.","American Commercial College",2,"For-Profit",3
1005700,10057,"American Commercial Colleges, Inc.","American Commercial College",4,"For-Profit",3
2200800,22008,"American Commercial Colleges, Inc.","American Commercial College",7,"For-Profit",3
2136800,21368,"American Commercial Colleges, Inc.","American Commercial College",8,"For-Profit",3
844101,8441,"Anthem Education Group","Anthem",1,"For-Profit",3
2239203,22392,"Anthem Education Group","Anthem",1,"For-Profit",3
2239202,22392,"Anthem Education Group","Anthem",2,"For-Profit",3
2263105,22631,"Anthem Education Group","Anthem",2,"For-Profit",3
2263106,22631,"Anthem Education Group","Anthem",2,"For-Profit",3
844100,8441,"Anthem Education Group","Anthem",3,"For-Profit",3
2239200,22392,"Anthem Education Group","Anthem",3,"For-Profit",3
2263101,22631,"Anthem Education Group","Anthem",3,"For-Profit",3
2263104,22631,"Anthem Education Group","Anthem",6,"For-Profit",3
3426400,34264,"Anthem Education Group","Anthem",6,"For-Profit",3
2263102,22631,"Anthem Education Group","Anthem",16,"For-Profit",3
2263100,22631,"Anthem Education Group","Anthem",52,"For-Profit",3
2305802,23058,"Anthem Education Group","Florida Career College",1,"For-Profit",3
