unitid	loan_n	loan_p	year	iclevel	control	top30private	top30publice
100654	1	0	2000	1	1		
100654	803	75	2001	1	1		
100654	834	73	2002	1	1		
100654	618	56	2003	1	1		
100654	945	73	2004	1	1		
100654	842	70	2005	1	1		
100654	772	71	2006	1	1		
100654	720	64	2007	1	1		
100654	85	10	2008	1	1		
100654	623	60	2009	1	1		
100654	792	76	2010	1	1		
100654	926	83	2011	1	1		
100654	726	85	2012	1	1		
100654	912	89	2013	1	1		
100654	910	85	2014	1	1		
100654	977	82	2015	1	1		
100654	1110	75	2016	1	1		
100654	1051	75	2017	1	1		
100654	922	72	2018	1	1		
100654	997	71	2019	1	1		
100654	1216	72	2020	1	1		
100663	397	35	2000	1	1		
100663	743	60	2001	1	1		
100663	532	43	2002	1	1		
100663	626	45	2003	1	1		
100663	810	50	2004	1	1		
100663	701	45	2005	1	1		
100663	712	46	2006	1	1		
100663	614	41	2007	1	1		
100663	587	42	2008	1	1		
100663	557	45	2009	1	1		
100663	754	50	2010	1	1		
100663	883	57	2011	1	1		
100663	864	55	2012	1	1		
100663	925	56	2013	1	1		
100663	916	53	2014	1	1		
100663	934	54	2015	1	1		
100663	804	50	2016	1	1		
100663	1086	56	2017	1	1		
100663	1217	55	2018	1	1		
100663	1230	55	2019	1	1		
100663	1183	51	2020	1	1		
100690	4	80	2003	1	2		
100690	0	0	2004	1	2		
100690	9	75	2005	1	2		
100690	3	75	2006	1	2		
100690	1	100	2007	1	2		
100690	3	100	2008	1	2		
100690	9	90	2009	1	2		
100690	3	60	2010	1	2		
100690	0	0	2011	1	2		
100690	7	88	2012	1	2		
100690	10	100	2013	1	2		
100690	3	100	2014	1	2		
100690	8	89	2015	1	2		
100690	6	100	2016	1	2		
100690	2	50	2017	1	2		
100690	5	100	2018	1	2		
100690	1	100	2019	1	2		
100690	2	67	2020	1	2		
100706	160	30	2000	1	1		
100706	156	27	2001	1	1		
100706	185	31	2002	1	1		
100706	194	32	2003	1	1		
100706	264	34	2004	1	1		
100706	221	34	2005	1	1		
100706	284	45	2006	1	1		
100706	399	50	2007	1	1		
100706	288	38	2008	1	1		
100706	322	42	2009	1	1		
100706	331	43	2010	1	1		
100706	269	45	2011	1	1		
100706	271	42	2012	1	1		
100706	285	46	2013	1	1		
100706	277	43	2014	1	1		
100706	321	45	2015	1	1		
100706	420	41	2016	1	1		
100706	518	43	2017	1	1		
100706	621	46	2018	1	1		
100706	598	42	2019	1	1		
100706	617	41	2020	1	1		
100724	901	77	2000	1	1		
100724	641	63	2001	1	1		
100724	745	59	2002	1	1		
100724	858	61	2003	1	1		
100724	860	72	2004	1	1		
100724	749	66	2005	1	1		
100724	720	60	2006	1	1		
100724	836	64	2007	1	1		
100724	753	56	2008	1	1		
100724	1102	83	2009	1	1		
100724	945	78	2010	1	1		
100724	919	84	2011	1	1		
100724	882	80	2012	1	1		
100724	1167	81	2013	1	1		
100724	1085	71	2014	1	1		
100724	896	84	2015	1	1		
100724	841	83	2016	1	1		
100724	848	74	2017	1	1		
100724	720	76	2018	1	1		
100724	819	80	2019	1	1		
100724	688	69	2020	1	1		
100751	972	36	2000	1	1		
100751	1103	38	2001	1	1		
100751	779	32	2002	1	1		
100751	896	34	2003	1	1		
100751	1049	34	2004	1	1		
100751	1188	36	2005	1	1		
100751	1466	40	2006	1	1		
100751	1646	38	2007	1	1		
100751	1701	38	2008	1	1		
100751	1832	36	2009	1	1		
100751	2095	41	2010	1	1		
100751	2378	43	2011	1	1		
100751	2483	44	2012	1	1		
100751	2654	42	2013	1	1		
100751	2585	40	2014	1	1		
100751	2961	44	2015	1	1		
100751	3127	44	2016	1	1		
100751	3184	42	2017	1	1		
