State Name,Survey Year,Program Name,Definition Of Need,Test Score Merit Component,Performance Merit Component,Class Rank Merit Component,Grades Merit Component,Minimum Grade For Merit Component,Dollars Awarded To Under 2 Year In State Public Institutions,Recipients In Under 2 Year In State Public Institutions,Dollars Awarded To 2 Year In State Public Institutions,Recipients In 2 Year In State Public Institutions,Dollars Awarded To 4 Year In State Public Institutions,Recipients In 4 Year In State Public Institutions,Dollars Awarded To Out Of State Public Institutions,Recipients In Out Of State Public Institutions,Dollars Awarded To Under 2 Year In State Private Institutions,Recipients In Under 2 Year In State Private Institutions,Dollars Awarded To 2 Year In State Private Institutions,Recipients In 2 Year In State Private Institutions,Dollars Awarded To 4 Year In State Private Institutions,Recipients In 4 Year In State Private Institutions,Dollars Awarded To Out Of State Private Institutions,Recipients In Out Of State Private Institutions,Dollars Awarded To Under 2 Year In State Proprietary Institutions,Recipients In Under 2 Year In State Proprietary Institutions,Dollars Awarded To 2 Year In State Proprietary Institutions,Recipients In 2 Year In State Proprietary Institutions,Dollars Awarded To 4 Year In State Proprietary Institutions,Recipients In 4 Year In State Proprietary Institutions,Dollars Awarded To Out Of State Proprietary Institutions,Recipients In Out Of State Proprietary Institutions,Total Dollars Awarded,Total Number Of Recipients
,2003,test1,N/A,        ,        ,        , CHECKED,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,2003,AL National Guard Educational Assist. Program,N/A,        ,        ,        ,        ,0,,,43825,111,285577,440,,,,,,,119723,182,,,,,6000,6,,,,,739,455125
Alabama,2003,AL Student Grant Program,N/A,        ,        ,        , CHECKED,2,,,,,,,,,,,100000,440,4862500,10303,,,,,,,,,,,10743,4962500
Alabama,2004,AL Student Grant Program,N/A,        ,        ,        , CHECKED,2,,,,,,,,,,,131841,859,1486245,8642,,,,,,,,,,,,
Alabama,2005,AL Student Grant Program,N/A,        ,        ,        , CHECKED,2,,,,,,,,,,,71337,579,1452276,7312,,,,,,,,,,,1523613,7891
Alabama,2006,AL Student Grant Program,N/A,        ,        ,        , CHECKED,2,,,,,,,,,,,21210,144,2109655,6845,,,,,,,,,,,2130865,6989
Alabama,2007,AL Student Grant Program,N/A,        ,        ,        , CHECKED,2,,,,,,,,,,,82472,387,2596108,6404,,,,,,,,,,,2678580,6791
Alabama,2008,AL Student Grant Program,N/A,        ,        ,        , CHECKED,2,,,,,,,,,,,148720,539,3225768,6418,,,,,,,,,,,3374488,6957
Alabama,2009,AL Student Grant Program,N/A,        ,        ,        , CHECKED,2,,,,,,,,,,,142881,852,2280806,6460,,,,,,,,,,,2423687,7312
Alabama,2010,AL Student Grant Program,N/A,        ,        ,        , CHECKED,2,,,,,,,,,,,71600,444,2227425,6773,,,,,,,,,,,2299025,7217
Alabama,2011,AL Student Grant Program,N/A,        ,        ,        , CHECKED,2,,,,,,,,,,,110856,512,2020590,6777,,,,,,,,,,,2131446,7289
Alabama,2012,AL Student Grant Program,N/A,        ,        ,        , CHECKED,2,,,,,,,,,,,69075,421,1554425,6487,,,,,,,,,,,1623500,6908
Alabama,2013,AL Student Grant Program,N/A,        ,        ,        , CHECKED,2,,,,,,,,,,,70920,367,1455730,4921,,,,,61680,297,,,,,1588330,5585
Alabama,2014,AL Student Grant Program,N/A,        ,        ,        , CHECKED,2,,,,,,,,,,,49932,217,1873836,5197,,,,,,,63612,270,,,1987380,5684
Alabama,2015,AL Student Grant Program,N/A,        ,        ,        , CHECKED,2,,,,,,,,,,,60863,240,1935487,4905,,,,,,,,,,,1996350,5145
Alabama,2016,AL Student Grant Program,N/A,        ,        ,        , CHECKED,2,,,,,,,,,,,,,3238610,5070,,,,,,,,,,,3238610,5070
Alabama,2017,AL Student Grant Program,N/A,        ,        ,        , CHECKED,2,,,,,,,,,,,,,4514295,5225,,,,,,,,,,,4514295,5225
Alabama,2018,AL Student Grant Program,N/A,        ,        ,        , CHECKED,2,,,,,,,,,,,,,4088870,5619,,,,,,,,,,,4088870,5619
Alabama,2017,Alabama Board of Nursing Scholarship Program,N/A,        ,        ,        , CHECKED,3,,,,,,,,,,,,,,,,,,,,,,,,,0,0
Alabama,2018,Alabama Board of Nursing Scholarship Program,N/A,        ,        ,        , CHECKED,3,,,,,,,,,,,,,,,,,,,,,,,,,0,0
Alabama,2017,Alabama Dental Scholarships,N/A,        ,        ,        , CHECKED,3.75,,,,,189000,21,,,,,,,,,,,,,,,,,,,189000,21
Alabama,2018,Alabama Dental Scholarships,N/A,        ,        ,        , CHECKED,3.75,,,,,844000,37,,,,,,,,,,,,,,,,,,,844000,37
Alabama,2017,Alabama G.I. Dependent Scholarship Program,Need (cost-EFC),        ,        ,        , CHECKED,2,,,,,,,,,,,,,,,,,,,,,,,,,0,0
Alabama,2018,Alabama G.I. Dependent Scholarship Program,Need (cost-EFC),        ,        ,        , CHECKED,2,,,,,,,,,,,,,,,,,,,,,,,,,0,0
Alabama,2004,Alabama National Guard Educational Assistance Program,Need (cost-EFC),        ,        ,        , CHECKED,2,,,56399,118,276796,432,,,,,10000,14,78119,108,,,,,1000,2,,,,,,
Alabama,2005,Alabama National Guard Educational Assistance Program,Need (cost-EFC),        ,        ,        , CHECKED,2,,,59119,130,278539,419,,,,,21290,28,83225,129,,,,,3000,5,500,1,,,445673,712
Alabama,2006,Alabama National Guard Educational Assistance Program,Need (cost-EFC),        ,        ,        , CHECKED,2,,,49937,107,283595,417,,,,,29366,36,98885,156,,,,,,,4580,9,,,466363,725
Alabama,2007,Alabama National Guard Educational Assistance Program,Need (cost-EFC),        ,        ,        , CHECKED,2,,,77354,92,277707,429,,,,,,,105462,195,,,,,,,6000,10,,,466523,726
Alabama,2008,Alabama National Guard Educational Assistance Program,Need (cost-EFC),        ,        ,        , CHECKED,2,,,92701,153,325726,504,,,,,,,164030,267,,,,,,,5000,9,,,587457,933
Alabama,2009,Alabama National Guard Educational Assistance Program,Need (cost-EFC),        ,        ,        , CHECKED,2,,,67925,99,309359,459,,,,,,,93541,188,,,,,,,5866,13,,,476691,759
Alabama,2010,Alabama National Guard Educational Assistance Program,Need (cost-EFC),        ,        ,        , CHECKED,2,,,74270,138,272358,417,,,,,,,72737,140,,,,,,,5300,9,,,424665,704
Alabama,2011,Alabama National Guard Educational Assistance Program,Need (cost-EFC),        ,        ,        , CHECKED,2,,,62559,132,275052,409,,,,,,,71409,141,,,,,,,3500,7,,,412520,689
Alabama,2012,Alabama National Guard Educational Assistance Program,Need (cost-EFC),        ,        ,        , CHECKED,2,,,59420,121,260974,391,,,,,,,77725,135,,,,,,,6000,6,,,404119,653
Alabama,2013,Alabama National Guard Educational Assistance Program,Need (cost-EFC),        ,        ,        , CHECKED,2,,,67736,108,222641,336,,,,,,,53431,81,,,,,10500,15,,,,,354308,540
Alabama,2014,Alabama National Guard Educational Assistance Program,Need (cost-EFC),        ,        ,        , CHECKED,2,,,60121,99,235368,339,,,,,,,32300,48,,,,,,,7500,12,,,335289,498
Alabama,2015,Alabama National Guard Educational Assistance Program,Need (cost-EFC),        ,        ,        , CHECKED,2,,,75867,75,323784,257,,,,,,,26508,24,,,,,,,7307,7,,,433466,363
Alabama,2016,Alabama National Guard Educational Assistance Program,Need (cost-EFC),        ,        ,        , CHECKED,2,,,131800,109,466119,344,,,,,,,69600,48,,,,,,,,,,,667519,501
Alabama,2017,Alabama National Guard Educational Assistance Program,Need (cost-EFC),        ,        ,        , CHECKED,2,,,140844,114,511041,366,,,,,,,69766,52,,,,,,,,,,,721651,532
Alabama,2018,Alabama National Guard Educational Assistance Program,Need (cost-EFC),        ,        ,        , CHECKED,2,,,298604,183,2448681,733,,,,,,,345163,121,,,,,,,,,43310,14,3135758,1051
